event-id,visible,timestamp,location-long,location-lat,acceleration-raw-x,acceleration-raw-y,acceleration-raw-z,algorithm-marked-outlier,external-temperature,flt:switch,gps:hdop,gps:maximum-signal-strength,gps:satellite-count,ground-speed,gsm:mcc-mnc,heading,height-above-ellipsoid,import-marked-outlier,location-error-numerical,tag-voltage,transmission-timestamp,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
3015516805,true,2017-05-11 02:53:14.000,-1.79281166667,51.0663516667,3.6796875,3.84375,3.08203125,,22.3,0,,,7,0.4938666666666666,13862595,307.2,78.0,,52.3,3830.0,2017-05-11 13:10:11.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3015516806,true,2017-05-11 05:54:10.000,-1.79278833333,51.06644,3.779296875,3.84375,3.08203125,,22.3,0,,,6,,13862648,304.64,80.0,,44.6,3820.0,2017-05-11 13:10:11.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3015516807,true,2017-05-11 06:56:11.000,-1.79263333333,51.06618,3.78515625,3.943359375,3.046875,,24.3,0,,,7,,13862492,322.56,80.0,,52.3,3820.0,2017-05-11 13:10:11.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3015516808,true,2017-05-11 07:56:46.000,-1.79803166667,51.06065,-5.5546875,3.75,0.0703125,,20.0,0,,,7,0.4938666666666666,13859174,212.48,137.0,,91.8,3820.0,2017-05-11 13:10:11.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3015516809,true,2017-05-11 08:57:39.000,-1.79728166667,51.064975,-4.2890625,3.609375,-3.66796875,,17.7,0,,,6,,13861769,151.04,164.0,,70.2,3810.0,2017-05-11 13:10:11.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3015516810,true,2017-05-11 10:00:41.000,-1.797085,51.0649333333,-4.564453125,3.755859375,-5.94140625,,20.5,0,,,6,0.1646222222222222,13861744,53.76,158.0,,91.8,3790.0,2017-05-11 13:10:11.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3015516812,true,2017-05-11 12:06:44.000,-1.79703166667,51.064815,3.5859375,3.755859375,-2.94140625,,20.8,0,,,7,,13861673,309.76,76.0,,91.8,3780.0,2017-05-11 13:10:11.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3015516813,true,2017-05-11 13:09:03.000,-1.79667666667,51.0649216667,4.212890625,3.755859375,5.296875,,20.4,0,,,6,1.1523555555555556,13861737,138.24,89.0,,187.9,3790.0,2017-05-11 13:10:11.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3022327812,true,2017-05-11 15:14:56.000,-1.79752666667,51.065055,3.8671875,3.84375,0.83203125,,22.1,0,,,6,0.4938666666666666,13861817,238.08,82.0,,80.5,3790.0,2017-05-12 09:54:17.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3022327823,true,2017-05-12 08:50:06.000,-1.79726,51.0647316667,-1.9921875,3.65625,1.58203125,,18.1,0,,,7,,13861623,271.36,213.0,,60.8,3720.0,2017-05-12 09:54:17.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3031264540,true,2017-05-12 10:57:05.000,-1.79751666667,51.06503,-4.79296875,4.177734375,-5.953125,,29.5,0,,,6,,13861802,74.24,153.0,,70.2,3730.0,2017-05-13 06:20:35.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3031264541,true,2017-05-12 11:58:31.000,-1.79363666667,51.06109,-1.32421875,4.125,5.33203125,,28.4,0,,,4,,13859438,337.92,227.0,,187.9,3730.0,2017-05-13 06:20:35.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3031264542,true,2017-05-12 12:59:58.000,-1.79730333333,51.0647383333,-4.74609375,4.21875,3.83203125,,30.3,0,,,5,0.1646222222222222,13861627,194.56,154.0,,133.0,3750.0,2017-05-13 06:20:35.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3031264544,true,2017-05-12 15:04:53.000,-1.79830666667,51.065935,4.482421875,4.130859375,-0.703125,,28.9,0,,,5,0.6584888888888888,13862345,304.64,95.0,,210.0,3750.0,2017-05-13 06:20:35.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3031264545,true,2017-05-12 16:06:34.000,-1.79729833333,51.06488,-4.845703125,4.177734375,0.796875,,29.1,0,,,5,0.3292444444444444,13861712,345.6,152.0,,117.9,3750.0,2017-05-13 06:20:35.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3031264546,true,2017-05-12 17:07:33.000,-1.79738666667,51.065005,-4.564453125,3.9375,0.08203125,,24.0,0,,,7,,13861787,76.8,158.0,,70.2,3750.0,2017-05-13 06:20:35.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3031264547,true,2017-05-12 18:08:34.000,-1.838265,51.0834266667,-4.564453125,3.796875,-3.66796875,,21.7,0,,,7,0.6584888888888888,13872840,220.16,158.0,,52.3,3750.0,2017-05-13 06:20:35.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3031264548,true,2017-05-12 19:09:10.000,-1.84010166667,51.0807183333,-5.3203125,3.84375,-2.9296875,,22.8,0,,,10,0.1646222222222222,13871215,215.04,142.0,,44.6,3760.0,2017-05-13 06:20:35.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3031264549,true,2017-05-12 20:10:00.000,-1.79750166667,51.0646616667,-5.4609375,3.9375,-3.66796875,,24.7,0,,,6,0.6584888888888888,13861581,168.96,139.0,,149.6,3750.0,2017-05-13 06:20:35.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3031264550,true,2017-05-12 23:13:24.000,-1.79742166667,51.0678216667,5.6484375,4.083984375,-3.69140625,,27.7,0,,,6,0.1646222222222222,13863477,345.6,376.0,,261.0,3740.0,2017-05-13 06:20:35.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3031264552,true,2017-05-13 05:18:34.000,-1.797395,51.0648683333,-4.939453125,3.943359375,-1.453125,,24.9,0,,,5,0.6584888888888888,13861705,10.24,150.0,,187.9,3730.0,2017-05-13 06:20:35.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3031264553,true,2017-05-13 06:19:17.000,-1.79740166667,51.0645683333,5.56640625,3.984375,-2.1796875,,25.8,0,,,7,0.3292444444444444,13861525,38.4,118.0,,70.2,3740.0,2017-05-13 06:20:35.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
3036939220,true,2017-05-13 07:22:10.000,-1.79741333333,51.064825,-5.830078125,4.03125,-5.16796875,,26.6,0,,,7,0.1646222222222222,13861679,194.56,131.0,,104.2,3730.0,2017-05-13 23:53:06.000,,"gps","Falco peregrinus","868325023212022","Peregrine_690","2017 Peregrine"
