general,greeting,information,tell me a story
whats up,hello,what do falcons eat,what has happened in your life?
what are you doing,hi,are you a migratory bird?,what have you done in your life?
how are you doing,hi sally,where do you live?,tell me a story
whats going on?,hello,are falcons migratory?,do you have a nest?
what have you been doing recently?,hi,what can you tell me about falcons?,tell me about your life
what do you do normally?,hi sally,who are a falcon's closest ancestors?,I would like to know about your life
whats new?,hello,what is the contents of a falcon's diet?,what is the most interesting thing that has happened to you sally?
how are things?,hi,when do falcons hunt?,what is the coolest thing you have ever done
how is it going?,hi sally,how long do falcons live?,what is your life like?
whats up?,hello,how many children can falcons have?,tell me something about your life?
hi,hi,are falcons territorial?,what has your life been like?
hello sally,hi sally,how far can falcons fly?,"any good stories from your life, sally?"
what's new?,hello,how fast can falcons fly?,what is life like as a falcon?
how are you?,hi,how fast do falcons go?,tell me about your history
whats going on with you right now,hi sally,what is the top speed of a falcon?,do you like living in Salisbury?
how are things going right now with you,hello,where can I go to learn about falcons?,tell me a story about your life?
what ahave you done recently,hi,would a falcon win in a fight against an eagle?,what has your life been like?
what is going on,hi sally,what are falcons like?,give me a story about your life
